question,answer,tags
How long does standard shipping take within the continental US?,Standard shipping typically arrives in 3–5 business days once your order has left our warehouse.,"shipping,delivery,timeline,US"
Do you offer next‑day delivery for laptops?,"Yes, we offer overnight delivery on all in‑stock laptops for orders placed before 2 p.m. local warehouse time.","shipping,expedited,laptops"
Can I track my package after it ships?,Absolutely. A tracking link is emailed to you as soon as the carrier scans your parcel; you can also view it under My Orders.,"shipping,tracking,orders"
Which countries do you ship to?,"TechMart currently ships to the US, Canada, the UK, Australia, and 26 EU nations.","shipping,international"
How much does international shipping cost?,International shipping starts at USD 25 and is calculated at checkout based on weight and destination.,"shipping,cost,international"
Will I have to pay customs duties?,Orders shipped outside the US may be subject to import duties or taxes set by your local authority; these are the customer's responsibility.,"shipping,customs,taxes"
What happens if my package is lost in transit?,"If your tracking hasn’t updated for 7 days, contact support and we’ll open a trace with the carrier or send a replacement.","shipping,lost-package,support"
Can I change the delivery address after placing an order?,We can update the address if the order hasn’t shipped; please chat with support as soon as possible.,"shipping,address-change,orders"
Do you ship to PO boxes or APO/FPO addresses?,"Most accessories can ship to PO boxes and APO/FPO, but desktops and monitors require a physical street address.","shipping,po-box,apo"
Is signature required upon delivery?,"Orders over USD 500 require an adult signature; you can waive this in checkout, though we don’t recommend it.","shipping,signature,security"
Which payment methods do you accept?,"We accept Visa, MasterCard, Amex, Discover, PayPal, Apple Pay, Google Pay, and TechMart gift cards.","payment,methods"
Can I pay in installments?,"Yes, choose Klarna or Affirm at checkout to split purchases over 3–12 months, subject to credit approval.","payment,installments,financing"
Why was my credit‑card payment declined?,Banks may block large tech purchases. Please call your issuer to approve the transaction or try another card.,"payment,declined,credit-card"
How do I apply a promo code?,Enter the code in the Promotions field on the checkout page and click Apply; the discount appears instantly.,"payment,promo-code,discounts"
Can I cancel my order after payment?,"Orders can be canceled within 30 minutes of placement from the My Orders page, as long as they haven’t been packed.","orders,cancellation"
How do I get an invoice for my purchase?,"A PDF invoice is emailed automatically once your order ships, and you can download it anytime from your account.","orders,invoice,documents"
How do TechMart gift cards work?,Gift cards carry no fees or expiry date; enter the 16‑digit code at checkout to redeem all or part of the balance.,"payment,gift-card"
Can I combine multiple discounts on one order?,"Only one promo code can be used per order, but gift cards may be applied on top of a promo.","payment,discounts,policy"
Where can I see my order history?,Log in and navigate to My Account → Orders to view past and current orders with status updates.,"orders,history,account"
